text,category,author,timestamp
"Cephalexin is an antibiotic used to treat bacterial infections of the skin, ears, upper respiratory tract, bones, and urinary tract.",Medicine,,
"Prednisolone is a corticosteroid used to treat conditions such as arthritis, blood disorders, severe allergic reactions, skin diseases, certain cancers, and eye conditions.",Medicine,,
"Duloxetine is a serotonin-norepinephrine reuptake inhibitor (SNRI) antidepressant, also used for anxiety, diabetic peripheral neuropathic pain, fibromyalgia, and chronic musculoskeletal pain.",Medicine,,
Alprazolam is a benzodiazepine used to treat anxiety disorders and panic disorder. It works by enhancing the activity of certain neurotransmitters in the brain.,Medicine,,
"Rosuvastatin is a statin medication used to lower high cholesterol and triglycerides, and to reduce the risk of cardiovascular events like heart attack and stroke.",Medicine,,
"Sertraline is an antidepressant of the selective serotonin reuptake inhibitor (SSRI) class, used to treat depression, obsessive-compulsive disorder, panic attacks, and anxiety disorders.",Medicine,,
"Naproxen is an NSAID used for the relief of mild to moderate pain, inflammation, and fever, often prescribed for arthritis, menstrual cramps, and headaches.",Medicine,,
"Doxycycline is an antibiotic used to treat a wide range of bacterial infections, including acne, urinary tract infections, intestinal infections, and certain eye infections.",Medicine,,
"Loperamide is an anti-diarrheal medication that slows the movement of the gut, decreasing the number of bowel movements.",Medicine,,
"Ciprofloxacin is a fluoroquinolone antibiotic used to treat various bacterial infections, including respiratory, skin, bone, joint, and urinary tract infections.",Medicine,,
"Tamsulosin is an alpha-blocker that relaxes the muscles in the prostate and bladder neck, making it easier to urinate. It's used to treat symptoms of an enlarged prostate (BPH).",Medicine,,
Montelukast is a leukotriene receptor antagonist used for the maintenance treatment of asthma and to relieve symptoms of seasonal allergies.,Medicine,,
"Fexofenadine is an antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy throat, or watery eyes. It is known for being non-drowsy.",Medicine,,
Digoxin is a cardiac glycoside used to treat heart failure and irregular heartbeats (arrhythmias) by affecting the strength and rhythm of heart contractions.,Medicine,,
Levothyroxine is a synthetic thyroid hormone used to treat hypothyroidism (underactive thyroid) and goiter. It replaces the hormone normally produced by your thyroid gland.,Medicine,,
Lantus (Insulin Glargine) is a long-acting insulin used to control high blood sugar in adults and children with diabetes mellitus.,Medicine,,
Humalog (Insulin Lispro) is a fast-acting insulin used to improve blood sugar control in adults and children with diabetes mellitus.,Medicine,,
Valsartan is an angiotensin receptor blocker (ARB) used to treat high blood pressure and heart failure. It helps relax blood vessels and lower blood pressure.,Medicine,,
Escitalopram is an SSRI antidepressant used to treat major depressive disorder and generalized anxiety disorder.,Medicine,,
"Venlafaxine is an SNRI antidepressant used to treat major depressive disorder, generalized anxiety disorder, panic disorder, and social anxiety disorder.",Medicine,,
"Clopidogrel is an antiplatelet medication used to prevent heart attacks and strokes in people with heart disease, recent stroke, or peripheral artery disease.",Medicine,,
"Metoprolol is a beta-blocker used to treat high blood pressure, angina, and heart failure. It also helps prevent future heart attacks.",Medicine,,
Hydrocodone/Acetaminophen is a combination opioid pain reliever and fever reducer used to treat moderate to severe pain.,Medicine,,
Gabapentin enacarbil (Horizant) is an extended-release form of gabapentin used to treat restless legs syndrome and neuropathic pain.,Medicine,,
"Folic Acid is a B vitamin used to treat and prevent folate deficiency anemia, and is crucial during pregnancy to prevent birth defects.",Medicine,,
"Vitamin D is a fat-soluble vitamin that helps your body absorb calcium and phosphorus, crucial for bone health. It is used to treat vitamin D deficiency.",Medicine,,
"Fluoxetine is an SSRI antidepressant used to treat depression, obsessive-compulsive disorder, panic disorder, and premenstrual dysphoric disorder.",Medicine,,
Citalopram is an SSRI antidepressant used to treat depression. It works by restoring the balance of a certain natural substance (serotonin) in the brain.,Medicine,,
"Ranitidine is an H2 blocker that reduces the amount of acid produced in the stomach. It was commonly used for heartburn, acid reflux, and ulcers, though its use has declined.",Medicine,,
"Pantoprazole is a proton pump inhibitor (PPI) that decreases the amount of acid produced in the stomach, used for GERD and erosive esophagitis.",Medicine,,
"Metronidazole is an antibiotic used to treat bacterial and parasitic infections, including those of the reproductive system, gastrointestinal tract, and skin.",Medicine,,
"Azithromycin is a macrolide antibiotic used to treat various bacterial infections, including respiratory tract infections, skin infections, and certain sexually transmitted infections.",Medicine,,
"Dextromethorphan is a cough suppressant found in many over-the-counter cold and flu medications, used to relieve coughing.",Medicine,,
"Pseudoephedrine is a decongestant that narrows blood vessels in the nasal passages, used to relieve nasal congestion due to colds, allergies, and hay fever.",Medicine,,
"Cetirizine is an antihistamine used to relieve allergy symptoms such as sneezing, runny nose, itchy watery eyes, and hives.",Medicine,,
"Loratadine is an antihistamine used for the symptomatic relief of allergy symptoms like sneezing, runny nose, itchy eyes, or hives. It is typically non-drowsy.",Medicine,,
"Naproxen Sodium is an NSAID used for pain relief from conditions like arthritis, menstrual cramps, headache, muscle aches, and fever.",Medicine,,
"Baclofen is a muscle relaxant and antispastic agent used to treat muscle spasms caused by multiple sclerosis, spinal cord injury, or other neurological disorders.",Medicine,,
"Tizanidine is a short-acting muscle relaxant used to treat muscle spasms, typically from spinal cord injury, multiple sclerosis, or other neurological conditions.",Medicine,,
Cyclobenzaprine is a muscle relaxant used to treat muscle spasms and pain associated with acute musculoskeletal conditions.,Medicine,,
Amitriptyline is a tricyclic antidepressant used to treat depression and chronic nerve pain. It affects neurotransmitters in the brain.,Medicine,,
"Venlafaxine is an SNRI antidepressant used for major depressive disorder, generalized anxiety disorder, panic disorder, and social anxiety disorder.",Medicine,,
"Bupropion is an antidepressant that also aids in smoking cessation, used for major depressive disorder, seasonal affective disorder, and to help people stop smoking.",Medicine,,
"Escitalopram is an SSRI antidepressant primarily used for major depressive disorder and generalized anxiety disorder, by increasing serotonin levels in the brain.",Medicine,,
"Patient, 68-year-old male, experienced sudden weakness on the right side of his body and difficulty speaking. Rushed to ER, CT scan confirmed ischemic stroke. Started on Aspirin and referred for rehabilitation.",Case Study,,
"A 40-year-old female reported severe, cramping abdominal pain, bloating, and alternating bouts of diarrhea and constipation over several months. Colonoscopy was clear. Diagnosed with Irritable Bowel Syndrome (IBS). Advised dietary changes.",Case Study,,
"Patient, 7-year-old male, developed a high fever, chills, and a painful cough producing yellowish phlegm. Chest X-ray showed lung consolidation. Diagnosed with Pneumonia. Treated with oral Amoxicillin.",Case Study,,
"A 60-year-old male presented with a two-month history of increasing tremor in his right hand at rest, stiffness, and slow movements. Neurological assessment confirmed a diagnosis of Parkinson's Disease. Initiated Levodopa/Carbidopa therapy.",Case Study,,
"Patient, 35-year-old female, reported severe itching and red, scaly patches on her elbows and knees that worsen during stress. Diagnosed with Psoriasis. Prescribed topical corticosteroids.",Case Study,,
"A 22-year-old female presented with extreme thirst, frequent urination, and unexplained weight loss despite increased appetite. Lab tests showed very high blood glucose. Diagnosed with Type 1 Diabetes. Started on Insulin injections.",Case Study,,
"Patient, 50-year-old male, complained of persistent lower back pain radiating down his left leg, accompanied by numbness. MRI showed disc herniation. Diagnosed with Sciatica. Managed with Ibuprofen and physical therapy.",Case Study,,
"A 65-year-old male visited due to persistent cough and shortness of breath that has worsened over the past year, especially with exertion. He has a long history of smoking. Diagnosed with COPD. Prescribed Salbutamol inhaler as needed and advised smoking cessation.",Case Study,,
"Patient, 15-year-old male, presented with sudden, severe pain in his right ankle joint, which was red, swollen, and very tender. History of occasional joint pains. Diagnosed with Gout. Treated with anti-inflammatory medication.",Case Study,,
"A 38-year-old male reported a chronic feeling of sadness, loss of interest in activities, disturbed sleep, and significant weight loss for over six months. Diagnosed with Major Depressive Disorder. Started on Sertraline.",Case Study,,
"Patient, 70-year-old female, experienced a dizzy spell and lightheadedness upon standing up quickly. Blood pressure was recorded as 90/60 mmHg. Diagnosed with Orthostatic Hypotension. Advised to increase fluid intake and stand up slowly.",Case Study,,
"52-year-old male, presented with increasing abdominal swelling, yellowing of skin and eyes (jaundice), and chronic fatigue. History of alcohol abuse. Diagnosed with Alcoholic Cirrhosis. Referred for liver transplant evaluation.",Case Study,,
"A 2-year-old child was brought in with widespread, itchy, red skin patches, especially in the creases of her elbows and knees. History of sensitive skin. Diagnosed with Eczema. Treated with topical emollients and mild corticosteroids.",Case Study,,
"Patient, 40-year-old female, complained of recurrent episodes of severe, one-sided throbbing headache, often accompanied by visual aura, nausea, and sensitivity to light. Diagnosed with Migraine with Aura. Prescribed Sumatriptan for acute relief.",Case Study,,
"29-year-old female, reported persistent abdominal pain, bloody diarrhea, and weight loss for several months. Colonoscopy showed inflammation and ulcers in the large intestine. Diagnosed with Ulcerative Colitis. Initiated Mesalamine therapy.",Case Study,,
A 60-year-old male presented with gradual onset of difficulty seeing at night and noticing halos around lights. Eye pressure was elevated. Diagnosed with Glaucoma. Started on Latanoprost eye drops.,Case Study,,
"Patient, 10-year-old male, presented with fever, persistent cough, and night sweats. TB skin test was positive, and chest X-ray showed infiltrates. Diagnosed with Tuberculosis. Started on multi-drug anti-TB regimen.",Case Study,,
"67-year-old male, suffered a fall resulting in a painful, swollen hip. X-ray confirmed a hip fracture. Diagnosed with Osteoporosis-related Fracture. Scheduled for surgical repair and initiated Vitamin D and Calcium supplementation.",Case Study,,
"A 28-year-old female complained of irregular menstrual periods, excessive facial hair growth, and difficulty conceiving. Ultrasound showed multiple cysts on her ovaries. Diagnosed with Polycystic Ovary Syndrome (PCOS). Advised lifestyle modifications.",Case Study,,
"Patient, 55-year-old male, reported episodes of lightheadedness, shortness of breath, and chest discomfort during exertion. Stress test revealed blockages in coronary arteries. Diagnosed with Coronary Artery Disease. Prescribed Atorvastatin and referred for angiography.",Case Study,,
"33-year-old female, presented with a butterfly-shaped rash on her face, joint pain, and extreme fatigue. Blood tests showed specific autoantibodies. Diagnosed with Lupus. Managed with Prednisone.",Case Study,,
"A 42-year-old male experienced severe, radiating abdominal pain, nausea, and vomiting after a heavy meal. Lab tests showed elevated lipase and amylase. Diagnosed with Acute Pancreatitis. Admitted for pain management and IV fluids.",Case Study,,
"Patient, 60-year-old female, reported difficulty sleeping for several months, characterized by trouble falling asleep and frequent awakenings. Denied other symptoms. Diagnosed with Chronic Insomnia. Advised sleep hygiene practices and short-term Z-drug.",Case Study,,
"58-year-old male, presented with increasing forgetfulness, difficulty with daily tasks, and mood changes. Family reported progressive decline over two years. Diagnosed with Alzheimer's Disease. Started on Donepezil.",Case Study,,
"A 20-year-old male presented with persistent delusions of grandeur and auditory hallucinations for several months, significantly impairing his social function. Diagnosed with Schizophrenia. Started on Risperidone.",Case Study,,
"Patient, 70-year-old male, complained of muscle pain and stiffness, particularly in his shoulders and hips, worse in the morning. Lab tests showed elevated inflammatory markers. Diagnosed with Polymyalgia Rheumatica. Treated with Prednisone.",Case Study,,
"30-year-old female, presented with episodes of extreme worry, heart palpitations, and shortness of breath that occur unpredictably. Diagnosed with Panic Disorder. Commenced on Escitalopram.",Case Study,,
"A 5-year-old child was admitted with sudden high fever, severe headache, stiff neck, and rash. Lumbar puncture confirmed bacterial infection. Diagnosed with Meningitis. Treated with intravenous Ceftriaxone.",Case Study,,
"Patient, 48-year-old female, reported chronic fatigue, joint pain, and digestive issues including bloating after eating gluten. Blood test and biopsy confirmed villous atrophy. Diagnosed with Celiac Disease. Advised strict gluten-free diet.",Case Study,,
"63-year-old male, presented with episodes of intense dizziness and a spinning sensation, often triggered by head movements. Positional tests confirmed a diagnosis of Benign Paroxysmal Positional Vertigo (BPPV). Advised Epley maneuver exercises.",Case Study,,
"A 25-year-old female came in with abdominal pain, fever, and nausea, followed by severe diarrhea containing blood and mucus. Stool culture indicated bacterial infection. Diagnosed with Acute Gastroenteritis. Advised oral rehydration and Loperamide for symptoms.",Case Study,,
"Patient, 50-year-old male, reported episodes of chest pressure and shortness of breath during strenuous activities, relieved by rest. Stress test indicated stable angina. Diagnosed with Angina Pectoris. Prescribed Nitroglycerin.",Case Study,,
"38-year-old female, presented with a history of recurrent urinary tract infections, characterized by painful urination and frequent urge. Urine culture confirmed E. coli. Diagnosed with Recurrent UTIs. Treated with Trimethoprim/Sulfamethoxazole.",Case Study,,
"A 60-year-old male experienced a sudden, severe headache and weakness on one side of his body. Emergency MRI showed a brain hemorrhage. Diagnosed with Hemorrhagic Stroke. Admitted to neurocritical care.",Case Study,,
"Patient, 72-year-old female, developed increased fatigue, cold intolerance, and memory issues. Lab tests revealed low thyroid hormone. Diagnosed with Hypothyroidism. Commenced Levothyroxine.",Case Study,,
"55-year-old male, reported persistent fatigue, nausea, and general malaise. Blood tests showed elevated liver enzymes and positive viral markers. Diagnosed with Chronic Hepatitis B. Referred to a hepatologist.",Case Study,,
"A 40-year-old female presented with severe, persistent headache, stiff neck, and sensitivity to light. Lumbar puncture showed clear fluid with elevated white blood cells. Diagnosed with Viral Meningitis. Managed with supportive care.",Case Study,,
"Patient, 65-year-old male, complained of increasing difficulty hearing, especially in noisy environments, and ringing in his ears. Audiometry confirmed high-frequency hearing loss. Diagnosed with Presbycusis. Advised on hearing aids.",Case Study,,
"30-year-old female, reported frequent feelings of intense worry, restlessness, and difficulty concentrating for over six months. Diagnosed with Generalized Anxiety Disorder. Prescribed Escitalopram.",Case Study,,
A 4-year-old child was brought in with a barking cough and noisy breathing (stridor) that worsened at night. Diagnosed with Croup. Treated with a single dose of oral Dexamethasone.,Case Study,,
"Patient, 28-year-old male, presented with episodes of sudden, severe, stabbing pain in his face, triggered by touching or chewing. Diagnosed with Trigeminal Neuralgia. Started on Carbamazepine.",Case Study,,
"60-year-old male, complained of muscle pain and stiffness, particularly in his shoulders and hips, that was worse in the morning. Inflammatory markers were elevated. Diagnosed with Polymyalgia Rheumatica. Prescribed Prednisone.",Case Study,,
"A 55-year-old female reported progressive numbness and weakness in her legs, making walking difficult. MRI showed lesions in the brain and spinal cord. Diagnosed with Multiple Sclerosis (MS). Started on disease-modifying therapy.",Case Study,,
"Patient, 70-year-old male, presented with fatigue, paleness, and shortness of breath. Blood tests showed low hemoglobin. Diagnosed with Anemia. Investigated for underlying cause and started on iron supplements.",Case Study,,
"42-year-old female, experienced painful urination, frequent urges, and cloudy urine for two days. Urine culture showed significant bacterial growth. Diagnosed with Cystitis (bladder infection). Prescribed Nitrofurantoin.",Case Study,,
"A 48-year-old female reported chronic fatigue, joint pain, and digestive issues including bloating after eating gluten. Blood test and biopsy confirmed villous atrophy. Diagnosed with Celiac Disease. Advised strict gluten-free diet",Case Study,expert,2025-06-20 04:00:04.892016
A 4-year-old child was brought in with a barking cough and noisy breathing (stridor) that worsened at night. Diagnosed with Croup. Treated with a single dose of oral Dexamethasone,Case Study,expert,2025-06-20 04:01:06.354253
